Season Year,Week Number,Home Owner,Home Team,Home Score,Away Owner,Away Team,Away Score
2023,13,Boaz,No I’m gonna win UR gay,163.89,Jasper,Blue's Balls,80.84
2023,13,Dustin,Dusty Dynasty 🏆,169.93,Torin,Can I Hit Your Vape?,124.89
2023,13,Cooper,coop’s shit,110.51,Nick,nick's Great Team,142.46
2023,14,Dylan,Zaza Zealots,140.56,Trace,Gl Hf (you’re gay),96.92
2023,14,Phillip,Ho Chi Win City,130.88,Ryan,Trilobite Terror,118.87
2023,14,Casey,Awesome Baller-Winners,122.33,Mike,Justin Time,147.32
2023,14,Boaz,No I’m gonna win UR gay,129.49,Cooper,coop’s shit,158.86
2023,14,Dustin,Dusty Dynasty 🏆,125.71,Jasper,Blue's Balls,90.06
2023,14,Torin,Can I Hit Your Vape?,117.74,Nick,nick's Great Team,98.67
2023,15,Trace,Gl Hf (you’re gay),78.62,Torin,Can I Hit Your Vape?,68.14
2023,15,Casey,Awesome Baller-Winners,114.39,Jasper,Blue's Balls,116.6
2023,15,Mike,Justin Time,194.02,Boaz,No I’m gonna win UR gay,74.43
2023,15,Cooper,coop’s shit,139.54,Nick,nick's Great Team,116.38
2023,16,Dylan,Zaza Zealots,123.96,Trace,Gl Hf (you’re gay),150.1
2023,16,Phillip,Ho Chi Win City,111.46,Mike,Justin Time,93.89
2023,16,Casey,Awesome Baller-Winners,132.1,Boaz,No I’m gonna win UR gay,128.45
2023,16,Ryan,Trilobite Terror,113.72,Cooper,coop’s shit,103.32
2023,16,Dustin,Dusty Dynasty 🏆,152.56,Jasper,Blue's Balls,143.16
2023,16,Torin,Can I Hit Your Vape?,128.36,Nick,nick's Great Team,106.77
2023,17,Dylan,Zaza Zealots,163.06,Cooper,coop’s shit,106.09
2023,17,Phillip,Ho Chi Win City,124.99,Dustin,Dusty Dynasty 🏆,215.89
2023,17,Trace,Gl Hf (you’re gay),106.71,Ryan,Trilobite Terror,111.94
2023,17,Mike,Justin Time,138.42,Jasper,Blue's Balls,124.75
2024,1,Dylan,Globo Gym,139.74,Boaz,No I’m gonna win UR gay,139.92
2024,1,Phillip,Ho Chi Win City,108.52,Mike,Team Chaos,131.96
2024,1,Trace,Gl Hf (you’re gay),138.16,Dustin,Dusty Dynasty 🏆,169.76
2024,1,Casey,Skibidi Football,126.96,Jasper,Blue's Balls,136.54
2024,1,Ryan,Old Leech,162.83,Tess,Tess Finesse,134.24
2024,2,Dylan,Globo Gym,170.56,Tess,Tess Finesse,141.72
2024,2,Phillip,Ho Chi Win City,123.88,Ryan,Old Leech,110.9
2024,2,Trace,Gl Hf (you’re gay),107.06,Casey,Skibidi Football,157.41
2024,2,Mike,Team Chaos,139.0,Jasper,Blue's Balls,108.22
2024,2,Boaz,No I’m gonna win UR gay,155.68,Dustin,Dusty Dynasty 🏆,181.12
2024,3,Dylan,Globo Gym,130.7,Dustin,Dusty Dynasty 🏆,115.04
2024,3,Phillip,Ho Chi Win City,126.0,Tess,Tess Finesse,130.76
2024,3,Trace,Gl Hf (you’re gay),74.18,Mike,Team Chaos,132.28
2024,3,Casey,Skibidi Football,176.98,Boaz,No I’m gonna win UR gay,149.74
2024,3,Ryan,Old Leech,130.8,Jasper,Blue's Balls,160.96
2024,4,Dylan,Globo Gym,124.26,Casey,Skibidi Football,151.14
2024,4,Phillip,Ho Chi Win City,127.02,Jasper,Blue's Balls,135.4
2024,4,Trace,Gl Hf (you’re gay),112.5,Ryan,Old Leech,127.2
2024,4,Mike,Team Chaos,142.96,Boaz,No I’m gonna win UR gay,112.28
2024,4,Dustin,Dusty Dynasty 🏆,145.24,Tess,Tess Finesse,151.2
2024,5,Dylan,Globo Gym,177.44,Mike,Team Chaos,132.57
2024,5,Phillip,Ho Chi Win City,199.76,Trace,Gl Hf (you’re gay),140.2
2024,5,Casey,Skibidi Football,105.6,Dustin,Dusty Dynasty 🏆,168.58
2024,5,Ryan,Old Leech,126.82,Boaz,No I’m gonna win UR gay,139.36
2024,5,Tess,Tess Finesse,125.8,Jasper,Blue's Balls,146.82
2024,6,Dylan,Globo Gym,145.04,Ryan,Old Leech,144.14
2024,6,Phillip,Ho Chi Win City,107.25,Boaz,No I’m gonna win UR gay,127.02
2024,6,Trace,Gl Hf (you’re gay),145.22,Jasper,Blue's Balls,103.44
2024,6,Casey,Skibidi Football,139.33,Tess,Tess Finesse,134.12
2024,6,Mike,Team Chaos,110.93,Dustin,Dusty Dynasty 🏆,159.68
2024,7,Dylan,Globo Gym,142.38,Phillip,Ho Chi Win City,111.5
2024,7,Trace,Gl Hf (you’re gay),102.72,Tess,Tess Finesse,139.06
2024,7,Casey,Skibidi Football,150.32,Mike,Team Chaos,102.52
2024,7,Ryan,Old Leech,146.92,Dustin,Dusty Dynasty 🏆,148.3
2024,7,Boaz,No I’m gonna win UR gay,129.92,Jasper,Blue's Balls,101.02
2024,8,Dylan,Globo Gym,193.08,Jasper,Blue's Balls,148.22
2024,8,Phillip,Ho Chi Win City,171.54,Dustin,Dusty Dynasty 🏆,167.68
2024,8,Trace,Gl Hf (you’re gay),139.32,Boaz,No I’m gonna win UR gay,134.3
2024,8,Casey,Skibidi Football,119.86,Ryan,Old Leech,158.42
2024,8,Mike,Team Chaos,124.73,Tess,Tess Finesse,116.52
2024,9,Dylan,Globo Gym,141.0,Trace,Gl Hf (you’re gay),120.84
2024,9,Phillip,Ho Chi Win City,94.46,Casey,Skibidi Football,184.34
2024,9,Mike,Team Chaos,114.38,Ryan,Old Leech,135.5
2024,9,Boaz,No I’m gonna win UR gay,129.6,Tess,Tess Finesse,186.28
2024,9,Dustin,Dusty Dynasty 🏆,166.08,Jasper,Blue's Balls,115.22
2024,10,Dylan,Globo Gym,130.34,Boaz,No I’m gonna win UR gay,139.26
2024,10,Phillip,Ho Chi Win City,154.08,Mike,Team Chaos,141.34
2024,10,Trace,Gl Hf (you’re gay),99.8,Dustin,Dusty Dynasty 🏆,147.64
2024,10,Casey,Skibidi Football,109.69,Jasper,Blue's Balls,123.68
2024,10,Ryan,Old Leech,108.62,Tess,Tess Finesse,123.12
2024,11,Dylan,Globo Gym,177.88,Tess,Tess Finesse,160.64
2024,11,Phillip,Ho Chi Win City,139.54,Ryan,Old Leech,106.46
2024,11,Trace,Gl Hf (you’re gay),111.82,Casey,Skibidi Football,116.76
